Directory,URICount,Category,TotalURIs
2012-02,1917,NonOADS,2564
2012-02,8,SourceForge,2564
2012-02,0,GitHub,2564
2012-02,0,GitLab,2564
2012-02,0,Bitbucket,2564
2008-05,318,Total,318
2008-05,101,OADS,318
2008-05,216,NonOADS,318
2008-05,1,SourceForge,318
2008-05,0,GitHub,318
2008-05,0,GitLab,318
2008-05,0,Bitbucket,318
2001-06,59,Total,59
2001-06,6,OADS,59
2001-06,53,NonOADS,59
2001-06,0,SourceForge,59
2001-06,0,GitHub,59
2001-06,0,GitLab,59
2001-06,0,Bitbucket,59
2004-05,101,Total,101
2004-05,35,OADS,101
2004-05,64,NonOADS,101
2004-05,2,SourceForge,101
2004-05,0,GitHub,101
2004-05,0,GitLab,101
2004-05,0,Bitbucket,101
2001-10,57,Total,57
2001-10,2,OADS,57
2001-10,55,NonOADS,57
2001-10,0,SourceForge,57
2001-10,0,GitHub,57
2001-10,0,GitLab,57
2001-10,0,Bitbucket,57
2017-01,8966,Total,8966
2017-01,1639,OADS,8966
2017-01,7280,NonOADS,8966
2017-01,5,SourceForge,8966
2017-01,37,GitHub,8966
2017-01,1,GitLab,8966
2017-01,4,Bitbucket,8966
2000-02,70,Total,70
2000-02,8,OADS,70
2000-02,62,NonOADS,70
2000-02,0,SourceForge,70
2000-02,0,GitHub,70
2000-02,0,GitLab,70
2000-02,0,Bitbucket,70
2009-01,1693,Total,1693
2009-01,655,OADS,1693
2009-01,1018,NonOADS,1693
2009-01,20,SourceForge,1693
2009-01,0,GitHub,1693
2009-01,0,GitLab,1693
2009-01,0,Bitbucket,1693
2013-06,3347,Total,3347
2013-06,657,OADS,3347
2013-06,2680,NonOADS,3347
2013-06,10,SourceForge,3347
2013-06,0,GitHub,3347
2013-06,0,GitLab,3347
2013-06,0,Bitbucket,3347
2011-11,2287,Total,2287
2011-11,583,OADS,2287
2011-11,1693,NonOADS,2287
2011-11,9,SourceForge,2287
2011-11,2,GitHub,2287
2011-11,0,GitLab,2287
2011-11,0,Bitbucket,2287
2014-04,4973,Total,4973
2014-04,759,OADS,4973
2014-04,4198,NonOADS,4973
2014-04,14,SourceForge,4973
2014-04,2,GitHub,4973
2014-04,0,GitLab,4973
2014-04,0,Bitbucket,4973
2003-07,62,Total,62
2003-07,5,OADS,62
2003-07,57,NonOADS,62
2003-07,0,SourceForge,62
2003-07,0,GitHub,62
2003-07,0,GitLab,62
2003-07,0,Bitbucket,62
2006-12,65,Total,65
2006-12,12,OADS,65
2006-12,53,NonOADS,65
2006-12,0,SourceForge,65
2006-12,0,GitHub,65
2006-12,0,GitLab,65
2006-12,0,Bitbucket,65
2010-03,1252,Total,1252
2010-03,273,OADS,1252
2010-03,973,NonOADS,1252
2010-03,6,SourceForge,1252
2010-03,0,GitHub,1252
2010-03,0,GitLab,1252
2010-03,0,Bitbucket,1252
2003-11,98,Total,98
2003-11,23,OADS,98
2003-11,75,NonOADS,98
2003-11,0,SourceForge,98
2003-11,0,GitHub,98
2003-11,0,GitLab,98
2003-11,0,Bitbucket,98
2006-04,28,Total,28
2006-04,9,OADS,28
2006-04,19,NonOADS,28
2006-04,0,SourceForge,28
2006-04,0,GitHub,28
2006-04,0,GitLab,28
2006-04,0,Bitbucket,28
2011-07,2006,Total,2006
2011-07,391,OADS,2006
2011-07,1613,NonOADS,2006
2011-07,2,SourceForge,2006
2011-07,0,GitHub,2006
2011-07,0,GitLab,2006
2011-07,0,Bitbucket,2006
2002-03,33,Total,33
2002-03,1,OADS,33
2002-03,32,NonOADS,33
2002-03,0,SourceForge,33
2002-03,0,GitHub,33
2002-03,0,GitLab,33
2002-03,0,Bitbucket,33
2014-12,6205,Total,6205
2014-12,929,OADS,6205
2014-12,5256,NonOADS,6205
2014-12,16,SourceForge,6205
2014-12,4,GitHub,6205
2014-12,0,GitLab,6205
2014-12,0,Bitbucket,6205
2016-09,8893,Total,8893
2016-09,1247,OADS,8893
2016-09,7603,NonOADS,8893
2016-09,18,SourceForge,8893
2016-09,23,GitHub,8893
2016-09,0,GitLab,8893
2016-09,2,Bitbucket,8893
1999-10,52,Total,52
1999-10,5,OADS,52
1999-10,47,NonOADS,52
1999-10,0,SourceForge,52
1999-10,0,GitHub,52
1999-10,0,GitLab,52
1999-10,0,Bitbucket,52
2008-09,838,Total,838
2008-09,151,OADS,838
2008-09,686,NonOADS,838
2008-09,1,SourceForge,838
2008-09,0,GitHub,838
2008-09,0,GitLab,838
2008-09,0,Bitbucket,838
1998-02,55,Total,55
1998-02,7,OADS,55
1998-02,48,NonOADS,55
1998-02,0,SourceForge,55
1998-02,0,GitHub,55
1998-02,0,GitLab,55
1998-02,0,Bitbucket,55
2004-09,56,Total,56
2004-09,14,OADS,56
2004-09,42,NonOADS,56
2004-09,0,SourceForge,56
2004-09,0,GitHub,56
2004-09,0,GitLab,56
2004-09,0,Bitbucket,56
1999-06,49,Total,49
1999-06,1,OADS,49
1999-06,48,NonOADS,49
1999-06,0,SourceForge,49
1999-06,0,GitHub,49
1999-06,0,GitLab,49
1999-06,0,Bitbucket,49
2014-08,4940,Total,4940
2014-08,748,OADS,4940
2014-08,4169,NonOADS,4940
2014-08,15,SourceForge,4940
2014-08,7,GitHub,4940
2014-08,0,GitLab,4940
2014-08,1,Bitbucket,4940
2006-08,27,Total,27
2006-08,8,OADS,27
2006-08,19,NonOADS,27
2006-08,0,SourceForge,27
2006-08,0,GitHub,27
2006-08,0,GitLab,27
2006-08,0,Bitbucket,27
1997-11,57,Total,57
1997-11,2,OADS,57
1997-11,55,NonOADS,57
1997-11,0,SourceForge,57
1997-11,0,GitHub,57
1997-11,0,GitLab,57
1997-11,0,Bitbucket,57
2018-09,2,Total,2
2018-09,0,OADS,2
2018-09,2,NonOADS,2
2018-09,0,SourceForge,2
2018-09,0,GitHub,2
2018-09,0,GitLab,2
2018-09,0,Bitbucket,2
1997-10,57,Total,57
1997-10,0,OADS,57
1997-10,57,NonOADS,57
1997-10,0,SourceForge,57
1997-10,0,GitHub,57
1997-10,0,GitLab,57
1997-10,0,Bitbucket,57
2006-09,11,Total,11
2006-09,0,OADS,11
2006-09,11,NonOADS,11
2006-09,0,SourceForge,11
2006-09,0,GitHub,11
2006-09,0,GitLab,11
2006-09,0,Bitbucket,11
2014-09,6217,Total,6217
2014-09,1039,OADS,6217
2014-09,5155,NonOADS,6217
2014-09,15,SourceForge,6217
2014-09,8,GitHub,6217
2014-09,0,GitLab,6217
2014-09,0,Bitbucket,6217
1999-07,80,Total,80
1999-07,8,OADS,80
1999-07,72,NonOADS,80
1999-07,0,SourceForge,80
1999-07,0,GitHub,80
1999-07,0,GitLab,80
1999-07,0,Bitbucket,80
2004-08,68,Total,68
2004-08,15,OADS,68
2004-08,53,NonOADS,68
2004-08,0,SourceForge,68
2004-08,0,GitHub,68
2004-08,0,GitLab,68
2004-08,0,Bitbucket,68
1998-03,40,Total,40
1998-03,1,OADS,40
1998-03,39,NonOADS,40
1998-03,0,SourceForge,40
1998-03,0,GitHub,40
1998-03,0,GitLab,40
1998-03,0,Bitbucket,40
2008-08,674,Total,674
2008-08,144,OADS,674
2008-08,525,NonOADS,674
2008-08,5,SourceForge,674
2008-08,0,GitHub,674
2008-08,0,GitLab,674
2008-08,0,Bitbucket,674
1995-07,2,Total,2
1995-07,2,OADS,2
1995-07,0,NonOADS,2
1995-07,0,SourceForge,2
1995-07,0,GitHub,2
1995-07,0,GitLab,2
1995-07,0,Bitbucket,2
1999-11,44,Total,44
1999-11,5,OADS,44
1999-11,39,NonOADS,44
1999-11,0,SourceForge,44
1999-11,0,GitHub,44
1999-11,0,GitLab,44
1999-11,0,Bitbucket,44
2016-08,7052,Total,7052
2016-08,1078,OADS,7052
2016-08,5950,NonOADS,7052
2016-08,8,SourceForge,7052
2016-08,16,GitHub,7052
2016-08,0,GitLab,7052
2016-08,0,Bitbucket,7052
2011-06,1511,Total,1511
2011-06,263,OADS,1511
2011-06,1246,NonOADS,1511
2011-06,2,SourceForge,1511
2011-06,0,GitHub,1511
2011-06,0,GitLab,1511
2011-06,0,Bitbucket,1511
2002-02,35,Total,35
2002-02,3,OADS,35
2002-02,32,NonOADS,35
2002-02,0,SourceForge,35
2002-02,0,GitHub,35
2002-02,0,GitLab,35
2002-02,0,Bitbucket,35
2003-10,45,Total,45
2003-10,8,OADS,45
2003-10,37,NonOADS,45
2003-10,0,SourceForge,45
2003-10,0,GitHub,45
2003-10,0,GitLab,45
2003-10,0,Bitbucket,45
2015-01,7102,Total,7102
2015-01,1275,OADS,7102
2015-01,5810,NonOADS,7102
2015-01,7,SourceForge,7102
2015-01,10,GitHub,7102
2015-01,0,GitLab,7102
2015-01,0,Bitbucket,7102
2006-05,24,Total,24
2006-05,12,OADS,24
2006-05,12,NonOADS,24
2006-05,0,SourceForge,24
2006-05,0,GitHub,24
2006-05,0,GitLab,24
2006-05,0,Bitbucket,24
2003-06,63,Total,63
2003-06,16,OADS,63
2003-06,47,NonOADS,63
2003-06,0,SourceForge,63
2003-06,0,GitHub,63
2003-06,0,GitLab,63
2003-06,0,Bitbucket,63
2010-02,1007,Total,1007
2010-02,204,OADS,1007
2010-02,799,NonOADS,1007
2010-02,4,SourceForge,1007
2010-02,0,GitHub,1007
2010-02,0,GitLab,1007
2010-02,0,Bitbucket,1007
2007-01,19,Total,19
2007-01,2,OADS,19
2007-01,17,NonOADS,19
2007-01,0,SourceForge,19
2007-01,0,GitHub,19
2007-01,0,GitLab,19
2007-01,0,Bitbucket,19
2011-10,2495,Total,2495
2011-10,514,OADS,2495
2011-10,1975,NonOADS,2495
2011-10,5,SourceForge,2495
2011-10,1,GitHub,2495
2011-10,0,GitLab,2495
2011-10,0,Bitbucket,2495
2014-05,5837,Total,5837
2014-05,940,OADS,5837
2014-05,4889,NonOADS,5837
2014-05,5,SourceForge,5837
2014-05,3,GitHub,5837
2014-05,0,GitLab,5837
2014-05,0,Bitbucket,5837
2000-03,104,Total,104
2000-03,14,OADS,104
2000-03,90,NonOADS,104
2000-03,0,SourceForge,104
2000-03,0,GitHub,104
2000-03,0,GitLab,104
2000-03,0,Bitbucket,104
2016-12,9521,Total,9521
2016-12,1505,OADS,9521
2016-12,7978,NonOADS,9521
