Directory,URICount,Category,TotalURIs
2020-08,12773,NonOADS,18564
2020-08,45,SourceForge,18564
2020-08,2326,GitHub,18564
2020-08,38,GitLab,18564
2020-08,21,Bitbucket,18564
2020-09,20373,Total,20373
2020-09,3756,OADS,20373
2020-09,13710,NonOADS,20373
2020-09,55,SourceForge,20373
2020-09,2766,GitHub,20373
2020-09,51,GitLab,20373
2020-09,35,Bitbucket,20373
2018-08,6225,Total,6225
2018-08,1514,OADS,6225
2018-08,3993,NonOADS,6225
2018-08,18,SourceForge,6225
2018-08,681,GitHub,6225
2018-08,7,GitLab,6225
2018-08,12,Bitbucket,6225
2014-08,4711,Total,4711
2014-08,1241,OADS,4711
2014-08,3348,NonOADS,4711
2014-08,42,SourceForge,4711
2014-08,74,GitHub,4711
2014-08,1,GitLab,4711
2014-08,5,Bitbucket,4711
2016-09,1,Total,1
2016-09,0,OADS,1
2016-09,1,NonOADS,1
2016-09,0,SourceForge,1
2016-09,0,GitHub,1
2016-09,0,GitLab,1
2016-09,0,Bitbucket,1
2008-09,2335,Total,2335
2008-09,658,OADS,2335
2008-09,1662,NonOADS,2335
2008-09,15,SourceForge,2335
2008-09,0,GitHub,2335
2008-09,0,GitLab,2335
2008-09,0,Bitbucket,2335
2020-05,20253,Total,20253
2020-05,3659,OADS,20253
2020-05,13727,NonOADS,20253
2020-05,45,SourceForge,20253
2020-05,2768,GitHub,20253
2020-05,33,GitLab,20253
2020-05,21,Bitbucket,20253
2014-12,5442,Total,5442
2014-12,1428,OADS,5442
2014-12,3795,NonOADS,5442
2014-12,59,SourceForge,5442
2014-12,155,GitHub,5442
2014-12,0,GitLab,5442
2014-12,5,Bitbucket,5442
2011-07,2925,Total,2925
2011-07,774,OADS,2925
2011-07,2118,NonOADS,2925
2011-07,22,SourceForge,2925
2011-07,11,GitHub,2925
2011-07,0,GitLab,2925
2011-07,0,Bitbucket,2925
2018-04,10888,Total,10888
2018-04,2316,OADS,10888
2018-04,7389,NonOADS,10888
2018-04,48,SourceForge,10888
2018-04,1091,GitHub,10888
2018-04,16,GitLab,10888
2018-04,28,Bitbucket,10888
2021-01,16087,Total,16087
2021-01,2837,OADS,16087
2021-01,11042,NonOADS,16087
2021-01,35,SourceForge,16087
2021-01,2121,GitHub,16087
2021-01,27,GitLab,16087
2021-01,25,Bitbucket,16087
2014-04,5120,Total,5120
2014-04,1394,OADS,5120
2014-04,3587,NonOADS,5120
2014-04,42,SourceForge,5120
2014-04,93,GitHub,5120
2014-04,0,GitLab,5120
2014-04,4,Bitbucket,5120
2018-12,12715,Total,12715
2018-12,2696,OADS,12715
2018-12,8485,NonOADS,12715
2018-12,43,SourceForge,12715
2018-12,1446,GitHub,12715
2018-12,12,GitLab,12715
2018-12,33,Bitbucket,12715
2011-11,4073,Total,4073
2011-11,1147,OADS,4073
2011-11,2877,NonOADS,4073
2011-11,34,SourceForge,4073
2011-11,14,GitHub,4073
2011-11,0,GitLab,4073
2011-11,1,Bitbucket,4073
2010-03,3247,Total,3247
2010-03,818,OADS,3247
2010-03,2407,NonOADS,3247
2010-03,19,SourceForge,3247
2010-03,2,GitHub,3247
2010-03,0,GitLab,3247
2010-03,1,Bitbucket,3247
2017-01,7651,Total,7651
2017-01,1954,OADS,7651
2017-01,5150,NonOADS,7651
2017-01,51,SourceForge,7651
2017-01,478,GitHub,7651
2017-01,2,GitLab,7651
2017-01,16,Bitbucket,7651
2013-06,4506,Total,4506
2013-06,1262,OADS,4506
2013-06,3153,NonOADS,4506
2013-06,44,SourceForge,4506
2013-06,43,GitHub,4506
2013-06,0,GitLab,4506
2013-06,4,Bitbucket,4506
2009-01,2230,Total,2230
2009-01,656,OADS,2230
2009-01,1559,NonOADS,2230
2009-01,15,SourceForge,2230
2009-01,0,GitHub,2230
2009-01,0,GitLab,2230
2009-01,0,Bitbucket,2230
2013-10,5268,Total,5268
2013-10,1393,OADS,5268
2013-10,3762,NonOADS,5268
2013-10,48,SourceForge,5268
2013-10,56,GitHub,5268
2013-10,0,GitLab,5268
2013-10,9,Bitbucket,5268
2016-05,6072,Total,6072
2016-05,1586,OADS,6072
2016-05,3879,NonOADS,6072
2016-05,36,SourceForge,6072
2016-05,555,GitHub,6072
2016-05,1,GitLab,6072
2016-05,15,Bitbucket,6072
2008-05,1966,Total,1966
2008-05,554,OADS,1966
2008-05,1403,NonOADS,1966
2008-05,8,SourceForge,1966
2008-05,1,GitHub,1966
2008-05,0,GitLab,1966
2008-05,0,Bitbucket,1966
2012-02,3984,Total,3984
2012-02,1142,OADS,3984
2012-02,2799,NonOADS,3984
2012-02,30,SourceForge,3984
2012-02,11,GitHub,3984
2012-02,0,GitLab,3984
2012-02,2,Bitbucket,3984
2020-06,22831,Total,22831
2020-06,4121,OADS,22831
2020-06,15116,NonOADS,22831
2020-06,59,SourceForge,22831
2020-06,3467,GitHub,22831
2020-06,38,GitLab,22831
2020-06,30,Bitbucket,22831
2015-03,5971,Total,5971
2015-03,1606,OADS,5971
2015-03,4158,NonOADS,5971
2015-03,43,SourceForge,5971
2015-03,155,GitHub,5971
2015-03,0,GitLab,5971
2015-03,9,Bitbucket,5971
2018-07,3065,Total,3065
2018-07,679,OADS,3065
2018-07,2012,NonOADS,3065
2018-07,12,SourceForge,3065
2018-07,344,GitHub,3065
2018-07,8,GitLab,3065
2018-07,10,Bitbucket,3065
2011-04,2673,Total,2673
2011-04,713,OADS,2673
2011-04,1939,NonOADS,2673
2011-04,15,SourceForge,2673
2011-04,5,GitHub,2673
2011-04,0,GitLab,2673
2011-04,1,Bitbucket,2673
2014-11,3252,Total,3252
2014-11,857,OADS,3252
2014-11,2300,NonOADS,3252
2014-11,16,SourceForge,3252
2014-11,72,GitHub,3252
2014-11,0,GitLab,3252
2014-11,7,Bitbucket,3252
2021-02,18968,Total,18968
2021-02,3212,OADS,18968
2021-02,12925,NonOADS,18968
2021-02,33,SourceForge,18968
2021-02,2734,GitHub,18968
2021-02,36,GitLab,18968
2021-02,28,Bitbucket,18968
2011-12,1652,Total,1652
2011-12,438,OADS,1652
