Directory,FileCount,FileWithURL
1911-08,65,0
1937-09,82,0
1993-04,215,0
1996-11,208,1
1989-03,154,0
1954-09,63,1
1997-03,187,1
1988-11,148,0
1981-12,142,0
2021-09,12115,11645
1972-08,108,0
1984-07,221,6
1929-09,100,0
1990-01,171,3
1999-02,161,89
1986-10,197,4
1927-08,82,0
1983-05,133,0
1939-08,84,0
1962-09,53,0
1994-06,125,0
1998-10,186,98
1987-02,104,0
1944-08,47,0
1994-10,198,0
1982-01,171,4
1998-06,142,98
1991-05,148,0
1935-08,66,0
1913-09,82,0
1948-08,75,0
1970-09,87,0
1986-06,105,0
1995-02,170,0
1956-08,28,0
1925-05,89,0
1981-08,130,0
1977-07,197,0
1972-12,59,0
1920-10,54,0
1964-03,58,0
1936-01,128,1
2002-07,125,70
1951-06,66,0
1958-05,36,0
2011-03,2036,1484
1942-02,65,0
1906-11,56,0
1919-03,75,1
2020-01,9009,8558
1921-02,59,0
1965-11,58,0
1928-01,135,0
1932-06,59,0
1960-04,66,0
1969-07,168,0
1911-12,56,0
2010-11,1135,806
1943-10,58,0
1907-03,78,0
1918-11,79,0
2019-12,10085,9246
1955-01,137,0
1946-05,44,0
1993-08,143,0
1937-05,89,0
1965-07,118,0
1976-03,98,0
1969-11,96,0
1924-01,107,0
1960-12,24,0
1932-10,98,0
2019-04,9119,8290
1918-07,41,0
1943-06,46,0
1959-01,99,0
2003-03,139,80
1950-02,64,0
1977-11,103,0
1968-03,91,0
1933-02,88,0
1929-05,133,0
1972-04,118,0
1915-03,81,0
1947-01,97,0
1951-10,97,0
1954-05,63,0
1940-03,95,0
1956-12,18,0
2000-06,97,79
1953-07,134,0
2009-05,510,392
1922-11,213,145
1979-10,160,0
1966-02,59,0
1983-09,134,0
1927-04,98,0
1975-06,86,0
1944-04,77,0
2012-10,3059,2613
1941-11,106,0
1905-02,60,0
2004-01,188,99
1948-12,61,0
1930-07,146,0
1962-05,57,0
1939-04,100,0
1971-01,135,0
1923-03,96,0
1978-02,113,0
1967-10,170,0
1935-12,51,0
1916-10,43,0
1944-12,59,0
2008-01,558,399
1900-01,77,0
1952-03,64,0
1948-04,121,0
2012-06,3083,2604
1941-07,118,0
1913-05,72,0
1974-02,92,0
1939-12,61,0
1930-11,122,0
1935-04,114,0
1991-09,127,0
1967-06,87,0
1956-04,68,0
2005-05,152,94
1908-10,59,0
2000-10,143,109
1953-11,71,0
1979-06,117,0
1922-07,128,39
1970-05,95,0
1975-10,165,0
1927-12,73,0
1963-01,130,0
1931-03,106,0
1979-07,132,0
1922-06,140,76
1970-04,108,0
1975-11,68,0
1938-01,145,0
1931-02,115,1
1956-05,40,0
1908-11,68,0
1917-03,62,0
1945-01,82,0
2009-12,839,547
1953-10,113,0
2000-11,83,83
1974-03,94,0
1926-01,129,0
1962-12,68,0
1930-10,94,0
1991-08,123,0
1935-05,111,0
1967-07,163,0
2017-12,8010,7184
1952-02,60,0
2001-03,106,83
1948-05,102,0
1941-06,60,0
2012-07,3486,3157
1913-04,75,0
1930-06,83,0
1962-04,104,0
1939-05,109,0
2022-01,10159,9779
1923-02,53,0
1978-03,108,0
1967-11,85,0
2017-04,6906,6341
1944-05,61,0
1916-07,56,0
1913-12,71,0
1941-10,94,0
1957-01,86,0
1970-12,82,0
1922-10,156,65
1979-11,99,0
1966-03,86,0
1934-01,115,0
1927-05,109,0
1983-08,103,1
1975-07,143,0
1940-02,74,0
2005-12,209,83
1949-01,129,0
1953-06,61,0
2000-07,165,91
