Directory,Category,Mean,Median,StDev,Cut1,Cut2,Cut3,Percentage,Min,Max
2019-7912,GitHub,0,0,0,0,0,0,0,0,0
2019-7912,GitLab,0,0,0,0,0,0,0,0,0
2019-7912,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3402,SourceForge,0,0,0,0,0,0,0,0,0
2019-3402,GitHub,0,0,0,0,0,0,0,0,0
2019-3402,GitLab,0,0,0,0,0,0,0,0,0
2019-3402,Bitbucket,0,0,0,0,0,0,0,0,0
2019-7011,SourceForge,0,0,0,0,0,0,0,0,0
2019-7011,GitHub,0,0,0,0,0,0,0,0,0
2019-7011,GitLab,0,0,0,0,0,0,0,0,0
2019-7011,Bitbucket,0,0,0,0,0,0,0,0,0
2020-0907,SourceForge,1.0769230769230769,1,0.2664693550105965,1.0,1.0,1.0,0.01706036745406824,1,2
2020-0907,GitHub,0,0,0,0,0,0,0,0,0
2020-0907,GitLab,0,0,0,0,0,0,0,0,0
2020-0907,Bitbucket,0,0,0,0,0,0,0,0,0
2019-5305,SourceForge,0,0,0,0,0,0,0,0,0
2019-5305,GitHub,0,0,0,0,0,0,0,0,0
2019-5305,GitLab,0,0,0,0,0,0,0,0,0
2019-5305,Bitbucket,0,0,0,0,0,0,0,0,0
2019-0107,SourceForge,0,0,0,0,0,0,0,0,0
2019-0107,GitHub,0,0,0,0,0,0,0,0,0
2019-0107,GitLab,0,0,0,0,0,0,0,0,0
2019-0107,Bitbucket,0,0,0,0,0,0,0,0,0
2019-4902,SourceForge,0,0,0,0,0,0,0,0,0
2019-4902,GitHub,0,0,0,0,0,0,0,0,0
2019-4902,GitLab,0,0,0,0,0,0,0,0,0
2019-4902,Bitbucket,0,0,0,0,0,0,0,0,0
2020-0511,SourceForge,1,1,1,1,1,1,0.005291005291005291,1,1
2020-0511,GitHub,0,0,0,0,0,0,0,0,0
2020-0511,GitLab,0,0,0,0,0,0,0,0,0
2020-0511,Bitbucket,0,0,0,0,0,0,0,0,0
2019-5610,SourceForge,0,0,0,0,0,0,0,0,0
2019-5610,GitHub,0,0,0,0,0,0,0,0,0
2019-5610,GitLab,0,0,0,0,0,0,0,0,0
2019-5610,Bitbucket,0,0,0,0,0,0,0,0,0
2019-4001,SourceForge,0,0,0,0,0,0,0,0,0
2019-4001,GitHub,0,0,0,0,0,0,0,0,0
2019-4001,GitLab,0,0,0,0,0,0,0,0,0
2019-4001,Bitbucket,0,0,0,0,0,0,0,0,0
2019-5407,SourceForge,0,0,0,0,0,0,0,0,0
2019-5407,GitHub,0,0,0,0,0,0,0,0,0
2019-5407,GitLab,0,0,0,0,0,0,0,0,0
2019-5407,Bitbucket,0,0,0,0,0,0,0,0,0
2019-5112,SourceForge,0,0,0,0,0,0,0,0,0
2019-5112,GitHub,0,0,0,0,0,0,0,0,0
2019-5112,GitLab,0,0,0,0,0,0,0,0,0
2019-5112,Bitbucket,0,0,0,0,0,0,0,0,0
2020-1402,SourceForge,1.1538461538461537,1,0.36080121229410994,1.0,1.0,1.0,0.003946569520340012,1,2
2020-1402,GitHub,1.6666666666666667,1.0,1.1055415967851332,1.0,1.0,2.5,0.0018214936247723133,1,4
2020-1402,GitLab,0,0,0,0,0,0,0,0,0
2020-1402,Bitbucket,1,1,1,1,1,1,0.00030358227079538557,1,1
2019-4703,SourceForge,0,0,0,0,0,0,0,0,0
2019-4703,GitHub,0,0,0,0,0,0,0,0,0
2019-4703,GitLab,0,0,0,0,0,0,0,0,0
2019-4703,Bitbucket,0,0,0,0,0,0,0,0,0
2019-5811,SourceForge,0,0,0,0,0,0,0,0,0
2019-5811,GitHub,0,0,0,0,0,0,0,0,0
2019-5811,GitLab,0,0,0,0,0,0,0,0,0
2019-5811,Bitbucket,0,0,0,0,0,0,0,0,0
2019-2004,SourceForge,0,0,0,0,0,0,0,0,0
2019-2004,GitHub,0,0,0,0,0,0,0,0,0
2019-2004,GitLab,0,0,0,0,0,0,0,0,0
